Method	Train	GSE135251	GSE63067
Lasso+Stepglm[both]	0.845783390410959	0.922815533980583	0.818181818181818
SVM	0.896939212328767	0.536893203883495	0.571428571428571
glmBoost+SVM	0.843214897260274	0.791747572815534	0.642857142857143
Ridge	0.849315068493151	0.922330097087379	0.701298701298701
Lasso+SVM	0.826626712328767	0.749029126213592	0.642857142857143
glmBoost+Ridge	0.84888698630137	0.927184466019418	0.74025974025974
Enet[alpha=0.1]	0.850278253424658	0.923300970873786	0.701298701298701
glmBoost+Enet[alpha=0.1]	0.849957191780822	0.928155339805825	0.753246753246753
Enet[alpha=0.2]	0.848672945205479	0.929611650485437	0.727272727272727
Enet[alpha=0.3]	0.849315068493151	0.930097087378641	0.727272727272727
glmBoost+Enet[alpha=0.3]	0.850492294520548	0.928640776699029	0.766233766233766
glmBoost+Enet[alpha=0.2]	0.850706335616438	0.928640776699029	0.753246753246753
Enet[alpha=0.4]	0.849850171232877	0.932038834951456	0.753246753246753
glmBoost+Enet[alpha=0.4]	0.850492294520548	0.930582524271845	0.766233766233766
Lasso+glmBoost	0.849850171232877	0.935922330097087	0.766233766233766
Enet[alpha=0.5]	0.849529109589041	0.933009708737864	0.753246753246753
glmBoost	0.849850171232877	0.935922330097087	0.766233766233766
glmBoost+Enet[alpha=0.5]	0.849422089041096	0.93252427184466	0.766233766233766
Enet[alpha=0.6]	0.849529109589041	0.933980582524272	0.766233766233766
glmBoost+Enet[alpha=0.6]	0.850492294520548	0.930097087378641	0.792207792207792
glmBoost+Enet[alpha=0.7]	0.850385273972603	0.928640776699029	0.779220779220779
glmBoost+Enet[alpha=0.8]	0.850599315068493	0.929126213592233	0.779220779220779
Enet[alpha=0.8]	0.849422089041096	0.93495145631068	0.766233766233766
Enet[alpha=0.9]	0.849743150684932	0.934466019417476	0.766233766233766
Lasso	0.848672945205479	0.935922330097087	0.766233766233766
Enet[alpha=0.7]	0.849315068493151	0.93495145631068	0.753246753246753
glmBoost+Enet[alpha=0.9]	0.849743150684931	0.933009708737864	0.766233766233766
glmBoost+Lasso	0.850492294520548	0.928640776699029	0.779220779220779
Lasso+plsRglm	0.844392123287671	0.931553398058252	0.649350649350649
glmBoost+plsRglm	0.844392123287671	0.931553398058252	0.649350649350649
glmBoost+Stepglm[forward]	0.851455479452055	0.922815533980583	0.779220779220779
Lasso+Stepglm[forward]	0.851455479452055	0.922815533980583	0.779220779220779
RF+SVM	0.896939212328767	0.536893203883495	0.571428571428571
Stepglm[forward]	0.857769691780822	0.953883495145631	0.74025974025974
plsRglm	0.848779965753425	0.944660194174757	0.61038961038961
RF+Ridge	0.850492294520548	0.923300970873786	0.701298701298701
RF+Enet[alpha=0.1]	0.849850171232877	0.924757281553398	0.688311688311688
RF+plsRglm	0.848779965753425	0.944660194174757	0.61038961038961
RF+Stepglm[forward]	0.857769691780822	0.953883495145631	0.74025974025974
RF+Enet[alpha=0.2]	0.848672945205479	0.929611650485437	0.727272727272727
RF+Enet[alpha=0.3]	0.849315068493151	0.931067961165049	0.727272727272727
RF+Enet[alpha=0.6]	0.849529109589041	0.933980582524272	0.766233766233766
RF+Lasso	0.849743150684932	0.933980582524272	0.766233766233766
RF+Enet[alpha=0.7]	0.849743150684932	0.935436893203883	0.766233766233766
RF+Enet[alpha=0.5]	0.849422089041096	0.933009708737864	0.753246753246753
RF+glmBoost	0.849636130136986	0.937378640776699	0.766233766233766
RF+Enet[alpha=0.9]	0.848994006849315	0.935922330097087	0.766233766233766
RF+Enet[alpha=0.4]	0.849529109589041	0.933495145631068	0.74025974025974
RF+Enet[alpha=0.8]	0.849529109589041	0.934466019417476	0.766233766233766
RF+Stepglm[both]	0.845783390410959	0.922815533980583	0.818181818181818
RF+Stepglm[backward]	0.845783390410959	0.922815533980583	0.818181818181818
Stepglm[both]+Ridge	0.845783390410959	0.921844660194175	0.818181818181818
Stepglm[backward]+Ridge	0.845676369863014	0.921844660194175	0.818181818181818
Stepglm[both]+plsRglm	0.845997431506849	0.921844660194175	0.805194805194805
Stepglm[backward]+plsRglm	0.845997431506849	0.921844660194175	0.805194805194805
Stepglm[both]+Enet[alpha=0.9]	0.845462328767123	0.922815533980582	0.831168831168831
Stepglm[backward]+Enet[alpha=0.9]	0.845355308219178	0.922815533980582	0.831168831168831
Stepglm[both]+Enet[alpha=0.1]	0.84621147260274	0.921359223300971	0.818181818181818
Stepglm[backward]+Enet[alpha=0.1]	0.845676369863014	0.921844660194175	0.818181818181818
Stepglm[both]+Enet[alpha=0.8]	0.845462328767123	0.922815533980582	0.831168831168831
Stepglm[backward]+Enet[alpha=0.8]	0.845462328767123	0.922330097087379	0.831168831168831
Stepglm[both]+Enet[alpha=0.2]	0.845569349315068	0.922815533980582	0.818181818181818
Stepglm[backward]+Enet[alpha=0.2]	0.845462328767123	0.922815533980582	0.818181818181818
Stepglm[both]+Lasso	0.845569349315068	0.922815533980582	0.818181818181818
Stepglm[backward]+Lasso	0.845783390410959	0.922815533980582	0.818181818181818
Stepglm[both]+Enet[alpha=0.6]	0.845569349315068	0.922330097087379	0.831168831168831
Stepglm[backward]+Enet[alpha=0.6]	0.845462328767123	0.922815533980582	0.831168831168831
glmBoost+GBM	0.961258561643836	0.918446601941748	0.831168831168831
Stepglm[both]+Enet[alpha=0.7]	0.845355308219178	0.922815533980582	0.831168831168831
Stepglm[backward]+Enet[alpha=0.7]	0.845355308219178	0.922330097087379	0.831168831168831
Lasso+Stepglm[backward]	0.845783390410959	0.922815533980583	0.818181818181818
Stepglm[both]	0.845783390410959	0.922815533980583	0.818181818181818
Stepglm[backward]	0.845783390410959	0.922815533980583	0.818181818181818
glmBoost+Stepglm[both]	0.845783390410959	0.922815533980583	0.818181818181818
glmBoost+Stepglm[backward]	0.845783390410959	0.922815533980583	0.818181818181818
Stepglm[both]+Enet[alpha=0.4]	0.845355308219178	0.922815533980582	0.831168831168831
Stepglm[backward]+Enet[alpha=0.4]	0.845034246575342	0.922815533980582	0.818181818181818
Stepglm[both]+Enet[alpha=0.3]	0.845355308219178	0.922815533980582	0.818181818181818
Stepglm[backward]+Enet[alpha=0.3]	0.845355308219178	0.922815533980582	0.818181818181818
Stepglm[both]+glmBoost	0.844071061643836	0.922330097087379	0.818181818181818
Stepglm[backward]+glmBoost	0.843428938356164	0.92378640776699	0.818181818181818
Stepglm[both]+Enet[alpha=0.5]	0.845141267123288	0.922815533980582	0.831168831168831
Stepglm[backward]+Enet[alpha=0.5]	0.845141267123288	0.922330097087379	0.831168831168831
glmBoost+RF	0.996896404109589	0.920873786407767	0.844155844155844
RF	0.997752568493151	0.92378640776699	0.857142857142857
Lasso+GBM	0.960509417808219	0.918446601941748	0.844155844155844
RF+GBM	0.976883561643836	0.927184466019418	0.844155844155844
GBM	0.976990582191781	0.925242718446602	0.844155844155844
Stepglm[both]+SVM	0.772902397260274	0.746601941747573	0.525974025974026
Stepglm[backward]+SVM	0.772902397260274	0.791747572815534	0.597402597402597
Lasso+RF	0.996468321917808	0.92621359223301	0.857142857142857
Stepglm[both]+GBM	0.950021404109589	0.900485436893204	0.805194805194805
Stepglm[backward]+GBM	0.953553082191781	0.903398058252427	0.792207792207792
Stepglm[both]+RF	0.99197345890411	0.897087378640777	0.805194805194805
LDA	0.851027397260274	0.961165048543689	0.688311688311688
glmBoost+LDA	0.847602739726027	0.933009708737864	0.74025974025974
RF+LDA	0.851027397260274	0.961165048543689	0.688311688311688
Stepglm[both]+LDA	0.842893835616438	0.919417475728155	0.805194805194805
Stepglm[backward]+LDA	0.842893835616438	0.919417475728155	0.805194805194805
Lasso+LDA	0.847602739726027	0.933009708737864	0.74025974025974
Stepglm[backward]+RF	0.991652397260274	0.900485436893204	0.805194805194805
XGBoost	0.851883561643836	0.678398058252427	0.88961038961039
Lasso+XGBoost	0.899507705479452	0.799757281553398	0.772727272727273
glmBoost+XGBoost	0.944830907534247	0.852912621359223	0.75974025974026
RF+XGBoost	0.890303938356164	0.791990291262136	0.837662337662338
Stepglm[both]+XGBoost	0.844820205479452	0.673543689320388	0.876623376623377
Stepglm[backward]+XGBoost	0.989833047945205	0.770873786407767	0.922077922077922
NaiveBayes	0.860124143835616	0.928155339805825	0.688311688311688
Lasso+NaiveBayes	0.857341609589041	0.966504854368932	0.701298701298701
glmBoost+NaiveBayes	0.857341609589041	0.966504854368932	0.701298701298701
RF+NaiveBayes	0.860124143835616	0.928155339805825	0.688311688311688
Stepglm[both]+NaiveBayes	0.860873287671233	0.951941747572816	0.779220779220779
Stepglm[backward]+NaiveBayes	0.860873287671233	0.951941747572816	0.779220779220779
