features	algorithm
BCL6	Lasso+Stepglm[both]
CASP1	Lasso+Stepglm[both]
DDC	Lasso+Stepglm[both]
FABP4	Lasso+Stepglm[both]
NR4A2	Lasso+Stepglm[both]
SHBG	Lasso+Stepglm[both]
FAS	SVM
BCL6	SVM
CASP1	SVM
CD36	SVM
DDC	SVM
FABP4	SVM
IL10	SVM
NR4A2	SVM
ABCB1	SVM
PPARA	SVM
PPARD	SVM
PPARG	SVM
SHBG	SVM
NR1H4	SVM
LPAR6	SVM
PARK7	SVM
FAS	glmBoost+SVM
BCL6	glmBoost+SVM
CASP1	glmBoost+SVM
CD36	glmBoost+SVM
DDC	glmBoost+SVM
FABP4	glmBoost+SVM
IL10	glmBoost+SVM
NR4A2	glmBoost+SVM
SHBG	glmBoost+SVM
PARK7	glmBoost+SVM
FAS	Ridge
BCL6	Ridge
CASP1	Ridge
CD36	Ridge
DDC	Ridge
FABP4	Ridge
IL10	Ridge
NR4A2	Ridge
ABCB1	Ridge
PPARA	Ridge
PPARD	Ridge
PPARG	Ridge
SHBG	Ridge
NR1H4	Ridge
LPAR6	Ridge
PARK7	Ridge
FAS	Lasso+SVM
BCL6	Lasso+SVM
CASP1	Lasso+SVM
CD36	Lasso+SVM
DDC	Lasso+SVM
FABP4	Lasso+SVM
IL10	Lasso+SVM
NR4A2	Lasso+SVM
SHBG	Lasso+SVM
PARK7	Lasso+SVM
FAS	glmBoost+Ridge
BCL6	glmBoost+Ridge
CASP1	glmBoost+Ridge
CD36	glmBoost+Ridge
DDC	glmBoost+Ridge
FABP4	glmBoost+Ridge
IL10	glmBoost+Ridge
NR4A2	glmBoost+Ridge
SHBG	glmBoost+Ridge
PARK7	glmBoost+Ridge
FAS	Enet[alpha=0.1]
BCL6	Enet[alpha=0.1]
CASP1	Enet[alpha=0.1]
CD36	Enet[alpha=0.1]
DDC	Enet[alpha=0.1]
FABP4	Enet[alpha=0.1]
IL10	Enet[alpha=0.1]
NR4A2	Enet[alpha=0.1]
ABCB1	Enet[alpha=0.1]
PPARD	Enet[alpha=0.1]
PPARG	Enet[alpha=0.1]
SHBG	Enet[alpha=0.1]
NR1H4	Enet[alpha=0.1]
PARK7	Enet[alpha=0.1]
FAS	glmBoost+Enet[alpha=0.1]
BCL6	glmBoost+Enet[alpha=0.1]
CASP1	glmBoost+Enet[alpha=0.1]
CD36	glmBoost+Enet[alpha=0.1]
DDC	glmBoost+Enet[alpha=0.1]
FABP4	glmBoost+Enet[alpha=0.1]
IL10	glmBoost+Enet[alpha=0.1]
NR4A2	glmBoost+Enet[alpha=0.1]
SHBG	glmBoost+Enet[alpha=0.1]
PARK7	glmBoost+Enet[alpha=0.1]
FAS	Enet[alpha=0.2]
BCL6	Enet[alpha=0.2]
CASP1	Enet[alpha=0.2]
CD36	Enet[alpha=0.2]
DDC	Enet[alpha=0.2]
FABP4	Enet[alpha=0.2]
IL10	Enet[alpha=0.2]
NR4A2	Enet[alpha=0.2]
PPARD	Enet[alpha=0.2]
PPARG	Enet[alpha=0.2]
SHBG	Enet[alpha=0.2]
PARK7	Enet[alpha=0.2]
FAS	Enet[alpha=0.3]
BCL6	Enet[alpha=0.3]
CASP1	Enet[alpha=0.3]
CD36	Enet[alpha=0.3]
DDC	Enet[alpha=0.3]
FABP4	Enet[alpha=0.3]
IL10	Enet[alpha=0.3]
NR4A2	Enet[alpha=0.3]
PPARD	Enet[alpha=0.3]
PPARG	Enet[alpha=0.3]
SHBG	Enet[alpha=0.3]
PARK7	Enet[alpha=0.3]
FAS	glmBoost+Enet[alpha=0.3]
BCL6	glmBoost+Enet[alpha=0.3]
CASP1	glmBoost+Enet[alpha=0.3]
CD36	glmBoost+Enet[alpha=0.3]
DDC	glmBoost+Enet[alpha=0.3]
FABP4	glmBoost+Enet[alpha=0.3]
IL10	glmBoost+Enet[alpha=0.3]
NR4A2	glmBoost+Enet[alpha=0.3]
SHBG	glmBoost+Enet[alpha=0.3]
PARK7	glmBoost+Enet[alpha=0.3]
FAS	glmBoost+Enet[alpha=0.2]
BCL6	glmBoost+Enet[alpha=0.2]
CASP1	glmBoost+Enet[alpha=0.2]
CD36	glmBoost+Enet[alpha=0.2]
DDC	glmBoost+Enet[alpha=0.2]
FABP4	glmBoost+Enet[alpha=0.2]
IL10	glmBoost+Enet[alpha=0.2]
NR4A2	glmBoost+Enet[alpha=0.2]
SHBG	glmBoost+Enet[alpha=0.2]
PARK7	glmBoost+Enet[alpha=0.2]
FAS	Enet[alpha=0.4]
BCL6	Enet[alpha=0.4]
CASP1	Enet[alpha=0.4]
CD36	Enet[alpha=0.4]
DDC	Enet[alpha=0.4]
FABP4	Enet[alpha=0.4]
IL10	Enet[alpha=0.4]
NR4A2	Enet[alpha=0.4]
SHBG	Enet[alpha=0.4]
PARK7	Enet[alpha=0.4]
FAS	glmBoost+Enet[alpha=0.4]
BCL6	glmBoost+Enet[alpha=0.4]
